"","State or Territory of Residence","2012","2013","2014","2015","2016","2017","2004","2005","2006","2007","2008","2009","2010","2011","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"29","Montana",325,294,304,249,314,347,285,209,225,251,358,267,259,297,161,91,127,45,197,87,127,165,81,117,NA,165,165,214,62,NA,7,81
"30","Nebraska",2039,2418,2348,2221,2405,2422,1537,1365,1797,2188,2866,1644,1590,1876,555,167,403,402,376,339,432,4411,4147,2999,4,259,717,407,990,1548,1644,791
"31","Nevada",7667,8507,7891,7900,8923,7438,4622,5901,8202,8363,13150,8470,6791,8519,1254,1302,1228,1382,1209,1026,1533,1518,1937,2894,24,7963,4414,3427,960,3333,3789,4100
"32","New Hampshire",1507,1589,1413,1570,1501,1897,958,971,2483,1821,1617,1492,1670,1607,344,295,253,399,300,303,357,387,926,559,489,430,645,1078,485,819,448,1028
"33","New Jersey",42622,41173,32939,34857,40344,38611,30291,33160,39801,35235,59950,35077,33864,33826,6483,15054,23728,15859,17969,15052,16598,18495,24587,28770,44351,32406,21301,8294,29955,26776,26783,22987
"34","New Mexico",2689,2371,2426,2452,2524,3312,1449,1401,1538,1704,3058,3062,2205,2434,751,4,930,924,820,386,495,665,697,643,5,511,649,1507,104,786,1086,995
"35","New York",93584,107330,77717,90368,93376,86407,66234,84624,103870,73676,90572,88733,67972,76603,39571,32320,38457,41922,44619,44808,43447,55519,67282,68611,169428,95595,47456,104048,138504,99022,94276,63945
"36","North Carolina",11848,12150,11160,11569,12492,13890,5084,5862,12592,6606,8509,16294,9988,11360,1702,1208,1609,1644,1362,1856,2172,2397,2089,2073,11,2873,3463,3427,9036,3876,8356,3581
"37","North Dakota",377,532,525,561,1046,607,267,203,329,415,336,273,286,369,165,137,212,186,132,163,119,159,137,192,NA,188,166,80,146,200,210,146
"38","Ohio",10194,10664,9032,9580,10029,12427,8590,9415,8796,9250,11142,8072,8617,9326,3373,3439,2853,2651,3037,3184,2669,3382,4432,3263,5106,4447,5859,5509,5834,3647,6056,2766
"39","Oklahoma",3133,3487,2472,3858,3953,3769,1765,1799,2246,1812,3335,2256,2678,2966,1284,571,1793,1300,1167,1458,876,1092,1286,1806,8,1168,613,3198,210,1920,1831,1574
"40","Oregon",5872,5784,4363,6130,7173,6382,3612,4777,4332,5572,9257,5051,4910,5657,1473,1335,1566,1985,1736,1867,1994,2146,2475,1810,23,1464,2307,5165,4247,4191,4445,4301
"41","Pennsylvania",16470,17813,14500,16554,17239,14898,10205,13307,15846,11371,19673,16905,16143,16162,4117,6663,5900,5606,4218,4323,3839,7236,9644,9665,9652,7327,9997,14094,13269,8396,9630,9448
"42","Puerto Rico",2212,2447,2439,2826,2514,2651,512,1641,1413,1518,2622,1253,1318,1692,653,270,1705,1061,1054,853,1947,1852,1484,4,3,368,1650,2202,539,708,1066,559
"43","Rhode Island",2854,2816,2479,2728,2736,3415,2185,2604,2266,2088,3721,2458,2078,2682,1476,1310,1219,1025,1970,927,1043,1720,2302,1535,NA,2951,2642,2884,719,1066,1160,1624
"44","South Carolina",4124,4770,4486,4611,4159,5033,1748,916,2940,1499,3488,3506,3081,4033,558,484,1112,1028,761,713,670,675,1387,1032,713,1086,1334,1093,1683,696,505,1020
"45","South Dakota",467,464,676,542,647,632,257,354,342,460,572,415,399,420,168,69,96,144,87,117,62,85,114,103,NA,173,159,14,170,203,209,177
"46","Tennessee",5557,5004,4613,5381,5371,3645,2613,3578,3334,2927,5560,4938,4229,5396,1033,911,1004,1015,1002,1043,979,1039,1364,634,14,1275,1255,2617,2022,1260,2444,2011
"47","Texas",57762,57947,52879,65467,63945,50552,35417,38553,37835,53032,82129,54024,49699,52927,13439,13266,18625,17372,24529,16266,17631,26403,25148,32209,57970,39172,30862,58849,55800,43396,42828,28671
"48","Utah",3848,3026,4314,4838,3775,3141,3110,2874,2740,2777,5394,2823,2908,3595,1335,875,1152,787,866,585,649,950,1163,1417,22,2850,1421,2296,793,1836,1791,1684
"49","Vermont",546,496,552,570,589,760,419,488,569,468,518,426,407,431,223,120,233,115,175,200,219,221,369,523,9,321,360,126,348,332,428,426
"50","Virginia",24224,22279,19646,18391,20437,21930,13478,17653,20401,14171,29949,24730,17815,13782,4892,3335,5000,6799,5606,5353,4662,7141,7103,10542,13724,6803,8589,11808,12507,7426,10612,9593
"51","Washington",17524,17589,12246,14341,21655,16030,12667,14817,12762,14671,18665,19853,16830,17317,2684,3261,4915,4485,3519,3289,4307,5741,6878,11063,12228,14668,12991,11174,14499,8793,9339,11790
"52","West Virginia",478,443,415,501,495,560,237,362,390,310,505,361,550,348,235,241,267,199,176,261,137,205,229,318,3,218,265,307,47,285,302,261
"53","Wisconsin",4379,4532,3770,3738,3825,3165,3570,4040,3247,4485,5200,3845,3864,4434,1462,829,1406,940,477,1499,681,6,17,874,5,1371,1894,3132,4236,2960,3632,2777
"54","Wyoming",220,242,217,257,233,247,146,134,169,190,245,186,229,228,143,67,119,84,72,57,50,43,86,127,127,145,121,151,191,135,102,111
"55","Other1",1120,983,838,895,1024,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Unknown",2777,2101,1150,1104,1353,4362,8661,6733,8313,6030,5907,5805,3770,6426,425,351,75,107,2930,442,3721,889,22719,7912,111133,63266,23824,99486,76485,27211,15561,7428
